Marca temporal,How much money have you used in-game?,SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>500USD & <1000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>1001USD & <2000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>2001USD & <3000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>3001USD & <4000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>4001USD & <5000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>5000USD]","And as final question, did you rerolled when you started playing?",,,
10/07/2018 22:20,F2P,,,,,,,,,,Between 3 and 6 months,0,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:20,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",Gilgamesh,Scathach,Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",Shuten Douji,Cu Chulainn [Alter],Jeanne D'arc,Extra Option: Angra Mainyu,More than 1 year,10,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:20,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Nero Claudius [Bride]",,Scathach,Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae","MHX, Shuten Douji",Minamoto no Raikō,Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",Between 6 and 12 months,18,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:20,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,Arjuna,,"Francis Drake, Iskandar","Zhuge Liang [El-Melloi II], Xuanzang, Leonardo Da Vinci",Shuten Douji,"Vlad III, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],Between 3 and 6 months,14,Male,No,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:20,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Altera,Nikola Tesla,,,,,,,,Between 3 and 6 months,2,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:20,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Okita Souji, Ryougi Shiki","Orion, Nikola Tesla",Scathach,"Francis Drake, Iskandar","Zhuge Liang [El-Melloi II], Tamamo-no-mae",Jack the Ripper,,,Jeanne D'arc [Alter],Between 6 and 12 months,14,Male,No,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:20,Paid Gacha Only,,,,,,,,,,,,,,,Orion,Scathach,Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",Shuten Douji,Minamoto no Raikō,Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,12,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:20,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Okita Souji,,Karna,Francis Drake,,Jack the Ripper,"Vlad III, Florence Nightingale",Jeanne D'arc,Extra Option: Angra Mainyu,More than 1 year,7,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:21,Paid Gacha Only,,,,,,,,,,,,,,,,,"Queen Medb, Ozymandias",Zhuge Liang [El-Melloi II],,,Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,7,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:21,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Orion, Nikola Tesla, Arjuna",,,Zhuge Liang [El-Melloi II],Jack the Ripper,Vlad III,Amakusa Shirou,,More than 1 year,7,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
