Marca temporal,How much money have you used in-game?,SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>500USD & <1000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>1001USD & <2000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>2001USD & <3000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>3001USD & <4000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>4001USD & <5000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>5000USD]","And as final question, did you rerolled when you started playing?",,,
11/07/2018 2:43,Paid Gacha Only,,,,,,,,,,,,,,Artoria Pendragon,Orion,,Ozymandias,Tamamo-no-mae,,,,,More than 1 year,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:44,F2P,,,,Iskandar,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",,,Jeanne D'arc,Extra Option: Angra Mainyu,More than 1 year,5,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:44,More than 500 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Nero Claudius [Bride], Ryougi Shiki",Orion,"Scathach, Artoria Pendragon [Lancer]","Francis Drake, Iskandar","Zhuge Liang [El-Melloi II], Tamamo-no-mae","Jack the Ripper, MHX, Shuten Douji","Sakata Kintoki, Vlad III, Cu Chulainn [Alter], Florence Nightingale, Minamoto no Raikō","Jeanne D'arc, Amakusa Shirou",Jeanne D'arc [Alter],More than 1 year,39,Male,,,,Between 21 and 40,,,"Yes, I rerolled",,,
11/07/2018 2:44,F2P,Mordred,Nikola Tesla,,,Zhuge Liang [El-Melloi II],,,,,Between 6 and 12 months,3,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:44,F2P,,,,,,,Sakata Kintoki,,,Between 1 and 3 months,1,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:44,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Mordred",,"Scathach, Karna",,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang",,"Vlad III, Minamoto no Raikō",,Extra Option: Angra Mainyu,Between 6 and 12 months,11,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:44,F2P,Artoria Pendragon,,,Iskandar,,Shuten Douji,Florence Nightingale,,Jeanne D'arc [Alter],Between 1 and 3 months,5,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:44,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nero Claudius [Bride], Ryougi Shiki",,Artoria Pendragon [Lancer],,Zhuge Liang [El-Melloi II],Jack the Ripper,,,,Between 6 and 12 months,5,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:44,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred",Orion,,,Zhuge Liang [El-Melloi II],Jack the Ripper,,Jeanne D'arc,Jeanne D'arc [Alter],Between 6 and 12 months,13,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:44,F2P,,"Gilgamesh, Orion",Brynhildr,,,,Minamoto no Raikō,,,More than 1 year,5,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:44,F2P,,,,,,,,Jeanne D'arc,Jeanne D'arc [Alter],Between 6 and 12 months,2,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:45,Paid Gacha Only,,,,,,,,,,,,,,Okita Souji,,Scathach,Queen Medb,,,,Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,5,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:45,Paid Gacha Only,,,,,,,,,,,,,,Okita Souji,Nikola Tesla,,Iskandar,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",,"Florence Nightingale, Minamoto no Raikō",,,More than 1 year,8,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:45,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,Jeanne D'arc,,Less than 1 month,1,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:45,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orion,,,,,Vlad III,Jeanne D'arc,Extra Option: Angra Mainyu,Between 3 and 6 months,3,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:45,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,,Scathach,"Queen Medb, Ozymandias",Tamamo-no-mae,,"Vlad III, Florence Nightingale, Minamoto no Raikō",,Jeanne D'arc [Alter],Between 3 and 6 months,9,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:46,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,Orion,,"Francis Drake, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Leonardo Da Vinci",MHX,Vlad III,Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,14,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:46,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orion,,,,,"Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],Between 3 and 6 months,5,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:46,Paid Gacha Only,,,,,,,,,,,,,,"Altera, Nero Claudius [Bride]",,,Ozymandias,Xuanzang,Jack the Ripper,,,Jeanne D'arc [Alter],Between 6 and 12 months,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:47,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,Orion,,Ozymandias,Zhuge Liang [El-Melloi II],Shuten Douji,"Vlad III, Minamoto no Raikō",Jeanne D'arc,"Edmond Dantes, Extra Option: Angra Mainyu",Between 6 and 12 months,11,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:47,F2P,"Artoria Pendragon, Altera, Okita Souji",Orion,Scathach,Ozymandias,Zhuge Liang [El-Melloi II],,Vlad III,,Jeanne D'arc [Alter],More than 1 year,10,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:48,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Ryougi Shiki",Orion,Scathach,,"Zhuge Liang [El-Melloi II], Xuanzang","Jack the Ripper, Shuten Douji","Sakata Kintoki, Vlad III, Florence Nightingale",,Jeanne D'arc [Alter],More than 1 year,12,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:48,More than 1USD but less than 100 Monthly,,,,,Tamamo-no-mae,,,,Jeanne D'arc [Alter],Between 1 and 3 months,0,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:48,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",,Brynhildr,Iskandar,Tamamo-no-mae,,Vlad III,,,More than 1 year,8,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:49,Paid Gacha Only,,,,,,,,,,,,,,Mordred,,,,,,,,,Between 6 and 12 months,3,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:50,Paid Gacha Only,,,,,,,,,,,,,,"Okita Souji, Ryougi Shiki",,Brynhildr,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",,Vlad III,Jeanne D'arc,Jeanne D'arc [Alter],Between 6 and 12 months,10,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:50,F2P,,,,Francis Drake,Xuanzang,,Vlad III,,Extra Option: Angra Mainyu,Between 1 and 3 months,3,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:50,Paid Gacha Only,,,,,,,,,,,,,,,,,Francis Drake,,,,,,Between 6 and 12 months,3,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:51,Paid Gacha Only,,,,,,,,,,,,,,,,Artoria Pendragon [Lancer],Francis Drake,"Zhuge Liang [El-Melloi II], Leonardo Da Vinci",,Vlad III,,Extra Option: Angra Mainyu,More than 1 year,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:51,F2P,"Artoria Pendragon, Altera",,,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",,Minamoto no Raikō,,Jeanne D'arc [Alter],Between 6 and 12 months,8,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:51,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Okita Souji, Mordred, Ryougi Shiki",Gilgamesh,"Scathach, Brynhildr","Queen Medb, Ozymandias",Tamamo-no-mae,"Jack the Ripper, MHX","Cu Chulainn [Alter], Florence Nightingale, Minamoto no Raikō",,"Jeanne D'arc [Alter], Edmond Dantes, Extra Option: Angra Mainyu",More than 1 year,50,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:51,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Okita Souji, Mordred, Ryougi Shiki",Arjuna,Scathach,Francis Drake,"Zhuge Liang [El-Melloi II], Xuanzang",,"Vlad III, Florence Nightingale, Minamoto no Raikō",,Extra Option: Angra Mainyu,More than 1 year,15,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:51,F2P,Artoria Pendragon,,,,Xuanzang,,,,Jeanne D'arc [Alter],Between 3 and 6 months,4,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:52,F2P,,,,,Tamamo-no-mae,,Vlad III,Jeanne D'arc,,More than 1 year,4,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:52,Paid Gacha Only,,,,,,,,,,,,,,,Gilgamesh,,Francis Drake,Zhuge Liang [El-Melloi II],,Sakata Kintoki,,Jeanne D'arc [Alter],More than 1 year,6,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:52,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",Arjuna,,Francis Drake,Tamamo-no-mae,"Jack the Ripper, MHX",Sakata Kintoki,Jeanne D'arc,"Jeanne D'arc [Alter], Edmond Dantes, Extra Option: Angra Mainyu",More than 1 year,14,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:52,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,Arjuna,,,"Xuanzang, Leonardo Da Vinci","Jack the Ripper, MHX",Minamoto no Raikō,Jeanne D'arc,,Between 6 and 12 months,9,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:52,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Mordred, Ryougi Shiki",,Artoria Pendragon [Lancer],Ozymandias,Zhuge Liang [El-Melloi II],,,,Extra Option: Angra Mainyu,More than 1 year,7,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:52,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Altera",,Scathach,,Zhuge Liang [El-Melloi II],Jack the Ripper,"Sakata Kintoki, Vlad III, Minamoto no Raikō",,,More than 1 year,9,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:52,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nikola Tesla, Arjuna",Karna,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",,,,,Between 1 and 3 months,5,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:52,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Mordred","Gilgamesh, Orion, Nikola Tesla","Karna, Brynhildr","Francis Drake, Ozymandias","Zhuge Liang [El-Melloi II], Xuanzang",Jack the Ripper,"Cu Chulainn [Alter], Florence Nightingale, Minamoto no Raikō","Jeanne D'arc, Amakusa Shirou","Jeanne D'arc [Alter], Extra Option: Angra Mainyu",Between 6 and 12 months,20,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:52,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,Gilgamesh,Scathach,Queen Medb,Tamamo-no-mae,Jack the Ripper,"Vlad III, Cu Chulainn [Alter], Minamoto no Raikō",Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,13,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:52,Paid Gacha Only,,,,,,,,,,,,,,Altera,"Orion, Nikola Tesla",,"Francis Drake, Ozymandias","Zhuge Liang [El-Melloi II], Xuanzang",,Minamoto no Raikō,Jeanne D'arc,,More than 1 year,12,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:53,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Ryougi Shiki",,Scathach,,Zhuge Liang [El-Melloi II],MHX,Minamoto no Raikō,,,More than 1 year,7,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:53,F2P,,Arjuna,,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",,Vlad III,,Extra Option: Angra Mainyu,More than 1 year,5,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:53,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Okita Souji",,,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",,Vlad III,,,More than 1 year,6,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:53,F2P,Mordred,,,,Tamamo-no-mae,,,,,Between 1 and 3 months,2,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:53,F2P,,,,,,MHX,,,,Between 6 and 12 months,1,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:54,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,Orion,Scathach,,"Tamamo-no-mae, Xuanzang",Jack the Ripper,Florence Nightingale,Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,12,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:54,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Nero Claudius [Bride]",Gilgamesh,"Scathach, Brynhildr",Ozymandias,Zhuge Liang [El-Melloi II],"Jack the Ripper, MHX",Vlad III,Jeanne D'arc,,More than 1 year,13,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:54,F2P,Mordred,,Brynhildr,,Xuanzang,,Florence Nightingale,,,Between 6 and 12 months,4,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:54,Paid Gacha Only,,,,,,,,,,,,,,"Altera, Nero Claudius [Bride]",,"Scathach, Brynhildr",Queen Medb,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",,,,,More than 1 year,8,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:55,F2P,Artoria Pendragon,Orion,,,Zhuge Liang [El-Melloi II],,Florence Nightingale,,,More than 1 year,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:55,Paid Gacha Only,,,,,,,,,,,,,,Altera,,,,,,Vlad III,,,Between 6 and 12 months,5,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:55,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scathach,,,,Cu Chulainn [Alter],,,Between 1 and 3 months,2,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:56,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred, Nero Claudius [Bride], Ryougi Shiki","Gilgamesh, Orion","Scathach, Brynhildr, Artoria Pendragon [Lancer]","Francis Drake, Queen Medb","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang","Jack the Ripper, MHX","Vlad III, Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,42,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:56,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,,,Francis Drake,"Zhuge Liang [El-Melloi II], Xuanzang",,,Amakusa Shirou,Jeanne D'arc [Alter],Between 6 and 12 months,6,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:56,Paid Gacha Only,,,,,,,,,,,,,,,,,"Queen Medb, Ozymandias",,,"Vlad III, Cu Chulainn [Alter]",,,Between 3 and 6 months,4,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:56,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Nero Claudius [Bride]","Orion, Nikola Tesla",,"Francis Drake, Ozymandias",Leonardo Da Vinci,Jack the Ripper,Minamoto no Raikō,,,More than 1 year,10,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:56,F2P,Altera,,,,,Jack the Ripper,,,Jeanne D'arc [Alter],Between 3 and 6 months,3,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:57,Paid Gacha Only,,,,,,,,,,,,,,Mordred,Nikola Tesla,Karna,Ozymandias,,,,,,Between 6 and 12 months,4,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:57,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Ryougi Shiki",,,"Francis Drake, Iskandar","Zhuge Liang [El-Melloi II], Tamamo-no-mae","MHX, Shuten Douji","Sakata Kintoki, Minamoto no Raikō",,Jeanne D'arc [Alter],More than 1 year,12,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:57,F2P,,,,Iskandar,"Zhuge Liang [El-Melloi II], Xuanzang",,,Jeanne D'arc,Jeanne D'arc [Alter],Between 3 and 6 months,5,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:57,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Ryougi Shiki","Gilgamesh, Arjuna","Karna, Brynhildr","Francis Drake, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae","Jack the Ripper, MHX, Shuten Douji","Cu Chulainn [Alter], Florence Nightingale, Minamoto no Raikō",Amakusa Shirou,"Jeanne D'arc [Alter], Edmond Dantes, Extra Option: Angra Mainyu",More than 1 year,36,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:57,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mordred, Nero Claudius [Bride]",Orion,Brynhildr,,Zhuge Liang [El-Melloi II],MHX,,,Jeanne D'arc [Alter],Between 6 and 12 months,7,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:57,Paid Gacha Only,,,,,,,,,,,,,,Altera,,,,Tamamo-no-mae,,Vlad III,,Edmond Dantes,Between 6 and 12 months,5,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:58,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera","Gilgamesh, Nikola Tesla",,Ozymandias,"Zhuge Liang [El-Melloi II], Xuanzang",,"Vlad III, Cu Chulainn [Alter]",Amakusa Shirou,Jeanne D'arc [Alter],More than 1 year,10,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:58,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",Gilgamesh,Karna,Ozymandias,,Jack the Ripper,Minamoto no Raikō,Jeanne D'arc,Jeanne D'arc [Alter],Between 6 and 12 months,11,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:58,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tamamo-no-mae,Jack the Ripper,,Jeanne D'arc,,More than 1 year,3,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:58,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Okita Souji, Mordred",,Scathach,"Francis Drake, Queen Medb",Zhuge Liang [El-Melloi II],"Jack the Ripper, Shuten Douji",,,Extra Option: Angra Mainyu,More than 1 year,10,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:59,Paid Gacha Only,,,,,,,,,,,,,,,,Artoria Pendragon [Lancer],,Zhuge Liang [El-Melloi II],,,,,Between 3 and 6 months,2,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:59,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,Nikola Tesla,Scathach,Ozymandias,Zhuge Liang [El-Melloi II],Shuten Douji,"Vlad III, Cu Chulainn [Alter], Minamoto no Raikō",,Extra Option: Angra Mainyu,Between 1 and 3 months,11,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 2:59,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,Arjuna,"Scathach, Karna","Francis Drake, Ozymandias",,,"Cu Chulainn [Alter], Minamoto no Raikō",,,Between 3 and 6 months,9,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:00,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Ryougi Shiki",Orion,Artoria Pendragon [Lancer],,Zhuge Liang [El-Melloi II],,,,Jeanne D'arc [Alter],More than 1 year,7,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
